name,address,city,state,zip,lat,lon,category
Sephora,,Chicago,Illinois,,41.8840028,-87.6282113,cosmetics
Sephora,605 North Michigan Avenue,Chicago,IL,60611,41.892672,-87.6238811,cosmetics
Lush,,Chicago,Illinois,,41.9130769,-87.6773396,cosmetics
Aesop,1653 North Damen Avenue,Chicago,Illinois,,41.9120257,-87.6773539,cosmetics
Kiehl's,520 North Michigan Avenue,Chicago,IL,60611,41.8914541,-87.6244551,cosmetics
The Skin Bar at Ulta Beauty,1107 South Delano Court,Chicago,IL,60605,41.8685396,-87.6322029,beauty
Merz Apothecary,4176 North Lincoln Avenue,Chicago,IL,60625,41.9670706,-87.687687,cosmetics
Ulta Beauty,430 North Michigan Avenue,Chicago,IL,60611,41.8902649,-87.6245089,cosmetics
Western Beauty Supply,22 South Western Avenue,Chicago,IL,60612,41.8804404,-87.6866727,beauty
Sally Beauty,5135 South Pulaski Road,Chicago,IL,60632,41.7995973,-87.7223808,hairdresser_supply
Sephora,938 West North Avenue,Chicago,IL,60642,41.9109665,-87.6526287,cosmetics
Ulta Beauty,1000 West North Avenue,Chicago,IL,60642,41.9119804,-87.6544869,cosmetics
The Scentuary,,Chicago,Illinois,,41.7663843,-87.5717485,cosmetics
Hong Kong Beauty Supply,,Chicago,Illinois,,41.9731833,-87.6561506,hairdresser_supply
Shiseido,West Argyle Street,Chicago,IL,60640,41.9731377,-87.6590764,cosmetics
Unnamed beauty store,,Chicago,Illinois,,41.9733764,-87.6593441,cosmetics
Sally Beauty,6185 North Lincoln Avenue,Chicago,IL,60659,41.9946086,-87.7127527,hairdresser_supply
Sally Beauty,6451 West Diversey Avenue,Chicago,IL,60639,41.930663,-87.7877874,hairdresser_supply
Sally Beauty,2506 West Cermak Road,Chicago,IL,60608,41.8524259,-87.6888132,hairdresser_supply
Sally Beauty,3145 South Ashland Avenue,Chicago,IL,60608,41.8370105,-87.6638961,hairdresser_supply
Sally Beauty,4725 South Kedzie Avenue,Chicago,IL,60632,41.8074091,-87.7032378,hairdresser_supply
Sally Beauty,2925 West Addison Street,Chicago,IL,60618,41.9456244,-87.7006678,hairdresser_supply
Ulta Beauty,4146 South Pulaski Road,Chicago,IL,60632,41.8174718,-87.7255466,cosmetics
Beauty One Beauty Supply,121 West 87th Street,Chicago,IL,60620,41.7344065,-87.6273801,cosmetics
CosmoProf,2121 North Clybourn Avenue,Chicago,IL,60614,41.9200425,-87.6619104,hairdresser_supply
The Skin Bar at Ulta Beauty,2754 North Clybourn Avenue,Chicago,IL,60614,41.9310391,-87.6772031,beauty
Sally Beauty,4711 North Pulaski Road,Chicago,IL,60625,41.9668567,-87.727576,hairdresser_supply
Beauty One,618 West Roosevelt Road,Chicago,IL,60607,41.8674076,-87.6429388,hairdresser_supply
Bath & Body Works,6117 North Lincoln Avenue,Chicago,IL,60659,41.9940203,-87.7115812,cosmetics
Choc Choc,3127 North Broadway,Chicago,IL,60657,41.9384248,-87.6442141,cosmetics
bluemercury,2747 North Clark Street,Chicago,IL,60614,41.9326844,-87.6446613,cosmetics
bluemercury,356 North Clark Street,Chicago,IL,60654,41.8889832,-87.6312465,cosmetics
Bath & Body Works,,Chicago,Illinois,,41.8981612,-87.622287,cosmetics
Sephora,,Chicago,Illinois,,41.8981452,-87.6232553,cosmetics
MAC Cosmetics,,Chicago,Illinois,,41.9765419,-87.9055289,cosmetics
Scratch Goods,847 West Randolph Street,Chicago,IL,60607,41.8841341,-87.6492376,cosmetics
Shiseido,2136 South Archer Avenue,Chicago,IL,60616,41.8540135,-87.6336759,cosmetics
The Skin Bar at Ulta Beauty,3015 North Clark Street,Chicago,IL,60657,41.9370886,-87.647603,beauty
Viking General Merchandise,1453 East Hyde Park Boulevard,Chicago,IL,60615,41.802293,-87.5895095,hairdresser_supply
Jo Malone,,Chicago,Illinois,,41.7885901,-87.7419997,perfumery
MAC Cosmetics,,Chicago,Illinois,,41.7886309,-87.7419818,cosmetics
Ulta Beauty,1107 South Delano Court,Chicago,IL,60605,41.8685602,-87.6320341,cosmetics
The Skin Bar at Ulta Beauty,430 North Michigan Avenue,Chicago,IL,60611,41.8902684,-87.6245418,beauty
Ulta Beauty,3015 North Clark Street,Chicago,IL,60657,41.9370861,-87.6476841,cosmetics
Sally Beauty,6500 West Irving Park Road,Chicago,IL,60634,41.9531869,-87.7891562,hairdresser_supply
Star Beauty Supply,,Chicago,Illinois,,41.8962309,-87.708375,hairdresser_supply
bluemercury,2208 North Halsted Street,Chicago,IL,60614,41.9221502,-87.6488387,cosmetics
bluemercury,924 West Randolph Street,Chicago,IL,60607,41.8846219,-87.6507919,cosmetics
Ulta Beauty,16 South Halsted Street,Chicago,IL,60607,41.8811227,-87.6475916,cosmetics
Beauty Supply,1400 East 47th Street,Chicago,IL,60653,41.8103953,-87.5922485,hairdresser_supply
L'Occitane,520 North Michigan Avenue,Chicago,IL,60611,41.891392,-87.6247579,cosmetics
Aesop,520 North Michigan Avenue,Chicago,IL,60611,41.8915025,-87.6246751,cosmetics
bluemercury,1153 North State Street,Chicago,IL,60610,41.903423,-87.6285264,cosmetics
Aesop,940 West Fulton Market,Chicago,Illinois,,41.8868864,-87.6514407,cosmetics
Sokhna Beauty Supply,,Chicago,Illinois,,41.8956258,-87.7134933,hairdresser_supply
CosmoProf,5160 South Pulaski Road,Chicago,IL,60632,41.799177,-87.7244741,hairdresser_supply
Sistar Beauty,8900 South Lafayette Avenue,Chicago,IL,60620,41.7329055,-87.6260472,cosmetics
Bath & Body Works,1730 West Fullerton Avenue,Chicago,IL,60614,41.9259564,-87.6725771,cosmetics
Ulta Beauty,2754 North Clybourn Avenue,Chicago,IL,60614,41.9309999,-87.6770273,cosmetics
Sally Beauty,2577 North Elston Avenue,Chicago,IL,60647,41.9288732,-87.6816142,hairdresser_supply
Ulta Beauty,1300 North Ashland Avenue,Chicago,IL,60622,41.9053986,-87.6685657,cosmetics
