name,address,city,state,zip,lat,lon,category
Sally Beauty,220 College Square,,Delaware,,39.6829314,-75.7344678,hairdresser_supply
Unnamed beauty store,,,Delaware,,39.4572407,-75.2122672,cosmetics
Unnamed beauty store,,,Delaware,,39.4289261,-75.2340168,cosmetics
Unnamed beauty store,,,Delaware,,39.4252796,-75.209407,cosmetics
Unnamed beauty store,,,Delaware,,39.4304537,-75.2321675,cosmetics
Sephora,118 Christiana Mall,Newark,DE,19702,39.6794527,-75.6527001,cosmetics
Sally Beauty,22883 Sussex Highway,Seaford,DE,19973,38.6624675,-75.5914591,hairdresser_supply
Beauty World,,,Delaware,,39.4623823,-75.2100235,beauty
Bath & Body Works,,,Delaware,,39.4210565,-75.0436163,cosmetics
Ulta Beauty,4803 Concord Pike,Wilmington,DE,19803,39.8260717,-75.5428482,beauty
Sally Beauty,4445 Concord Pike,Wilmington,DE,19803,39.8147694,-75.5487938,hairdresser_supply
Sally Beauty,4395 Kirkwood Highway,Wilmington,DE,19808,39.7285622,-75.6537379,hairdresser_supply
Sassy Beauty Supply,,,Delaware,,39.7626654,-75.521003,beauty
Bath & Body Works,34986 Midway Outlet Drive,Rehoboth Beach,DE,19971,38.7349612,-75.1410728,cosmetics
bareMinerals,34986 Midway Outlet Drive,Rehoboth Beach,DE,19971,38.7345743,-75.1415261,cosmetics
Bath & Body Works,4737 Concord Pike,Wilmington,DE,19803,39.823055,-75.5442384,cosmetics
Perfume Palace,4737 Concord Pike,Wilmington,DE,19803,39.8229336,-75.5442804,perfumery
Ulta Beauty,2130 Fashion Center Boulevard,Newark,DE,19702,39.6720023,-75.6487615,beauty
Ulta Beauty,3501 East Black Horse Pike,New,NJ,08012,39.7271587,-75.0330842,beauty
Sally Beauty,,,Delaware,,39.7271955,-75.0365732,hairdresser_supply
Elements Beauty Supply,,,Delaware,,38.7237386,-75.1255883,beauty
Ulta Beauty,36496 Seaside Outlet Drive,Rehoboth Beach,DE,19971,38.719885,-75.113763,beauty
Bath & Body Works,4425 Concord Pike,Wilmington,DE,19803,39.8146028,-75.5482153,cosmetics
Sephora,,,Delaware,,39.4208223,-75.042048,cosmetics
Sally Beauty,1013 North Dupont Highway,Dover,DE,19901,39.1855116,-75.5330953,hairdresser_supply
Sally Beauty,,,Delaware,,39.4266606,-75.0366873,hairdresser_supply
Perfume Point,,,Delaware,,39.6771812,-75.6517689,perfumery
MAC Cosmetics,715 Christiana Mall,Newark,Delaware,19702,39.6779982,-75.6520502,cosmetics
Bath & Body Works,,,Delaware,,39.6777458,-75.6510881,cosmetics
Lush,429 Christiana Mall,Newark,Delaware,19702,39.6780016,-75.6516857,cosmetics
Buff City Soap,5600 Concord Pike,Wilmington,DE,19803,39.8338913,-75.5436814,cosmetics
Ulta Beauty,1555 Almonesson Road,Deptford,NJ,08096,39.825596,-75.0985125,cosmetics
