name,address,city,state,zip,lat,lon,category
Sephora,,chicago,IL,,41.8840028,-87.6282113,cosmetics
Sephora,605 North Michigan Avenue,Chicago,IL,60611,41.892672,-87.6238811,cosmetics
Lush,,chicago,IL,,41.9130769,-87.6773396,cosmetics
Aesop,1653 North Damen Avenue,chicago,IL,,41.9120257,-87.6773539,cosmetics
Kiehl's,520 North Michigan Avenue,Chicago,IL,60611,41.8914541,-87.6244551,cosmetics
The Skin Bar at Ulta Beauty,1107 South Delano Court,Chicago,IL,60605,41.8685396,-87.6322029,beauty
Merz Apothecary,4176 North Lincoln Avenue,Chicago,IL,60625,41.9670706,-87.687687,cosmetics
Sally Beauty,120 Mannheim Road,Hillside,IL,60162,41.8683177,-87.8852155,hairdresser_supply
Monica's Skincare Boutique,1001 Garfield Street,Oak Park,IL,60304,41.8722401,-87.7993925,cosmetics
Ulta Beauty,430 North Michigan Avenue,Chicago,IL,60611,41.8902649,-87.6245089,cosmetics
Western Beauty Supply,22 South Western Avenue,Chicago,IL,60612,41.8804404,-87.6866727,beauty
Sally Beauty,5135 South Pulaski Road,Chicago,IL,60632,41.7995973,-87.7223808,hairdresser_supply
Sephora,938 West North Avenue,Chicago,IL,60642,41.9109665,-87.6526287,cosmetics
Ulta Beauty,1000 West North Avenue,Chicago,IL,60642,41.9119804,-87.6544869,cosmetics
The Scentuary,,chicago,IL,,41.7663843,-87.5717485,cosmetics
Hong Kong Beauty Supply,,chicago,IL,,41.9731833,-87.6561506,hairdresser_supply
Shiseido,West Argyle Street,Chicago,IL,60640,41.9731377,-87.6590764,cosmetics
Unnamed beauty store,,chicago,IL,,41.9733764,-87.6593441,cosmetics
Sally Beauty,6185 North Lincoln Avenue,Chicago,IL,60659,41.9946086,-87.7127527,hairdresser_supply
Perfumania,,chicago,IL,,41.9543505,-87.8091021,perfumery
Bath & Body Works,,chicago,IL,,41.9553836,-87.8087284,cosmetics
Sally Beauty,6451 West Diversey Avenue,Chicago,IL,60639,41.930663,-87.7877874,hairdresser_supply
