name,address,city,state,zip,lat,lon,category
Ulta Beauty,1210 Bridford Parkway,Greensboro,NC,27407,36.0571751,-79.9071522,cosmetics
Sally Beauty,1216 Bridford Parkway,Greensboro,NC,,36.0568473,-79.903949,hairdresser_supply
Ulta Beauty,3350 West Friendly Avenue,greensboro,NC,27410,36.0881797,-79.8398386,beauty
Merle Norman,3741 Battleground Avenue,greensboro,NC,,36.1353764,-79.8601815,beauty
iBeauty Supply,,greensboro,NC,,36.0388297,-79.8521011,beauty
Bath & Body Works,,greensboro,NC,,36.0392768,-79.8384209,cosmetics
Sheree's Natural Cosmetics,3008 Northline Avenue,greensboro,NC,,36.0879207,-79.8293488,cosmetics
Sephora,803 Friendly Center Road,greensboro,NC,,36.0868919,-79.830796,cosmetics
Bath & Body Works,801 Friendly Center Road,Greensboro,NC,27408,36.0866299,-79.8309445,cosmetics
Beauty Supply,,greensboro,NC,,36.0516583,-79.8054888,beauty
Beauty Giant,,greensboro,NC,,36.0222178,-79.8456909,hairdresser_supply
Bath & Body Works,1606 Highwoods Boulevard,greensboro,NC,,36.1121493,-79.8779382,cosmetics
EZ Hair Beauty Supply,,greensboro,NC,,36.0497793,-79.8355608,hairdresser_supply
Buff City Soap,3334 West Friendly Avenue,greensboro,NC,,36.0872697,-79.8389445,cosmetics
Sally Beauty,,greensboro,NC,,36.0031696,-79.797177,hairdresser_supply
Lush,3334 West Friendly Avenue,greensboro,NC,,36.0868481,-79.8386155,cosmetics
Sally Beauty,2633 Lawndale Drive,greensboro,NC,,36.1026424,-79.8210806,hairdresser_supply
Bath & Body Works,,greensboro,NC,,36.058784,-79.9054457,cosmetics
Sephora,1210 Bridford Parkway,greensboro,NC,,36.0582169,-79.9073459,cosmetics
Kima Beauty Supply,,greensboro,NC,,36.1139576,-79.8361821,beauty
Charm Beauty Supply,4645 West Market Street,greensboro,NC,,36.068664,-79.8661792,beauty
Twin's Beauty Supply,4616 West Market Street,greensboro,NC,,36.07144,-79.8635157,beauty
Beauty Supply Outlet,932 Summit Avenue,greensboro,NC,,36.0844473,-79.7761088,beauty
Luxe Fragrance Bar,219 Southside Square,greensboro,NC,,36.0657612,-79.7876587,perfumery
