name,address,city,state,zip,lat,lon,category
bluemercury,131 North Main Street,Greenville,NC,29601,34.8524382,-82.3984941,cosmetics
Merle Norman,2537 North Pleasantburg Drive,Greenville,SC,29609,34.8885922,-82.3839285,cosmetics
Sally Beauty,159 Rolling Hills Circle,Easley,SC,29640,34.8285993,-82.5472233,hairdresser_supply
Ulta Beauty,1800 East Franklin Street,Chapel Hill,NC,27514,35.9369481,-79.0245019,cosmetics
Sally Beauty,1051 Beaver Creek Commons Drive,Apex,NC,27502-3918,35.7440506,-78.8729995,hairdresser_supply
Inspirational You Beauty Box,,,NC,,35.5074579,-78.3163231,hairdresser_supply
Bath & Body Works,1025 Outlet Center Drive,Smithfield,NC,27577,35.509685,-78.3167611,cosmetics
Perfumania,1025 Outlet Center Drive,Smithfield,NC,27577,35.5097323,-78.3166602,perfumery
Perfume Outlet,,,NC,,35.5098362,-78.3164387,perfumery
Bath & Body Works,,,NC,,35.9277448,-79.0273539,cosmetics
Sally Beauty,,,NC,,35.5783072,-77.3833852,hairdresser_supply
Ulta Beauty,1210 Bridford Parkway,Greensboro,NC,27407,36.0571751,-79.9071522,cosmetics
Ulta Beauty,1506 W O Ezell Boulevard,Spartanburg,SC,29301,34.9379835,-81.9888355,cosmetics
Sally Beauty,30 Orchard Park Drive,Greenville,SC,29615,34.8554398,-82.3340611,hairdresser_supply
Merle Norman,402 West Fleming Drive,Morganton,NC,28655,35.7350517,-81.6845071,cosmetics
Bath & Body Works,,,NC,,34.9887442,-78.3505988,cosmetics
Bath & Body Works,,,NC,,33.7843998,-78.774225,cosmetics
Fragrance Outlet,,,NC,,33.7846037,-78.7736433,perfumery
bareMinerals,,,NC,,33.7842328,-78.7741709,cosmetics
Bath & Body Works,,,NC,,33.7924785,-78.7677204,cosmetics
Bath & Body Works,1125 Woodruff Road,Greenville,NC,29607,34.8288655,-82.2975677,cosmetics
H&Y Beauty Supply,,,NC,,33.8804651,-79.757526,beauty
Sally Beauty,,,NC,,35.9261853,-80.5891501,hairdresser_supply
Sally Beauty,,,NC,,35.6507494,-80.4611281,hairdresser_supply
Sally Beauty,259 Premier Boulevard,Roanoke Rapids,NC,27870,36.4271757,-77.6341166,hairdresser_supply
Aveda,,,NC,,35.1456417,-80.8252851,cosmetics
The Body Shop,4400 sharon road,charlotte,nc,28210,35.1522768,-80.8311783,cosmetics
Aveda,4400 sharon road,charlotte,nc,28210,35.152466,-80.83229,cosmetics
Lush,4400 sharon road,charlotte,nc,28210,35.1525314,-80.8322903,cosmetics
Bath & Body Works,4400 sharon road,charlotte,nc,28210,35.1527538,-80.8321237,cosmetics
Origins,4400 sharon road,charlotte,nc,28210,35.1526048,-80.8326293,cosmetics
L'Occitane,4400 sharon road,charlotte,nc,28210,35.152154,-80.8327915,cosmetics
Sally Beauty,,,NC,,35.2127212,-80.7833298,hairdresser_supply
Avon,,,NC,,35.212135,-80.7837038,cosmetics
Bath & Body Works,,,NC,,35.1758361,-80.8020718,cosmetics
Ulta Beauty,236 South Sharon Amity Road,Charlotte,NC,28211,35.1763184,-80.8018676,beauty
Merle Norman,10420 East Independence Boulevard,Matthews,NC,28105,35.1256768,-80.70733,cosmetics
Sally Beauty,1451 Woodruff Road,Greenville,NC,29607,34.8234027,-82.2849875,hairdresser_supply
